videoid;titulo;data;dia_semana;intervalo;duracao;views;curtidas;nao_curtidas;comentarios
115;UM RECADO MEU PRA VOCÊ!!!!;19/05/2017;Sexta-Feira;5;00:49;22458;5361;9;384
116;THE FLASH | Ep.22 Temp.03 (REVIEW);19/05/2017;Sexta-Feira;0;09:32;47999;6760;21;459
117;TRANSFORMERS TRAILER 3 | Review e Detalhes do Comercial de TV;23/05/2017;Terça-Feira;4;11:03;222893;14955;151;645
118;UNBOXING | MIXTURE BOX CAIXA 07 - TERRA MÉDIA;25/05/2017;Quinta-Feira;2;14:07;41147;5037;34;258
119;THE FLASH | Temp.03 Ep.23 (REVIEW);28/05/2017;Domingo;3;08:30;53497;7059;35;855
120;NERD AO CUBO | CAIXA 25 - INVASÃO (MAIO 2017);31/05/2017;Quarta-Feira;3;11:24;50005;5778;41;345
121;MULHER MARAVILHA 2017 | REVIEW (SEM SPOILERS);02/06/2017;Sexta-Feira;2;10:37;59866;9837;50;487
122;PIRATAS DO CARIBE 2017 | REVIEW (SEM SPOILERS);05/06/2017;Segunda-Feira;3;08:06;32324;4948;31;230
123;UNBOXING | MIXTURE BOX 08 - SOMOS SELVAGENS;08/06/2017;Quinta-Feira;3;09:54;34043;4279;19;155
124;TRANSFORMERS 5 | MAIS SPOTS E MAIS UM TRAILER;12/06/2017;Segunda-Feira;4;08:13;102355;10220;74;622
125;PANTERA NEGRA | ORIGEM;16/06/2017;Sexta-Feira;4;11:52;245094;23941;148;504
126;PANTERA NEGRA TRAILER 1 | REVIEW;20/06/2017;Terça-Feira;4;11:12;64088;8510;39;236
127;UNBOXING | CLUBE CASA GEEK (MAIO);22/06/2017;Quinta-Feira;2;10:18;25211;3658;21;133
128;GAME OF THRONES Trailer 2 TEMPORADA 7 | REVIEW;26/06/2017;Segunda-Feira;4;10:32;17519;2880;14;118
129;2001 - Uma Odisséia no Espaço | RESENHA;28/06/2017;Quarta-Feira;2;09:17;51935;6758;36;238
